Parent Path,File Name,Exists in Webb UI,MUI 5,Total Components,Includes Style Guide,Additional Details
ui/src/app/components/dms/ui/configuration/traffic/address-families-checkbox-group.tsx,address-families-checkbox-group.tsx,"FormGroup
FormLabel
Checkbox as MUICheckbox
FormControlLabel
CheckboxProps as MUICheckboxProps","makeStyles
FormControl",7,False,
ui/src/app/components/dms/ui/configuration/bgp-mitigation/deepfield-vip.tsx,deepfield-vip.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/bgp-mitigation/enable-switch.tsx,enable-switch.tsx,Switch,,1,False,
ui/src/app/components/dms/ui/configuration/bgp-mitigation/session-name.tsx,session-name.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/bgp-mitigation/md5-auth-section.tsx,md5-auth-section.tsx,"FormControlLabel
FormControlLabelProps as MUIFormControlLabelProps
Checkbox",,3,False,
ui/src/app/components/dms/ui/configuration/groups/groups.tsx,groups.tsx,,Grid,1,False,
ui/src/app/components/dms/ui/configuration/groups/redirect-target-type-radio-group.tsx,redirect-target-type-radio-group.tsx,"Radio
Box
FormLabel
FormControlLabel","withStyles
RadioGroup",6,True,
ui/src/app/components/dms/ui/configuration/groups/unmanaged-groups.tsx,unmanaged-groups.tsx,,Grid,1,False,
ui/src/app/components/dms/ui/configuration/shared/syslog-switch.tsx,syslog-switch.tsx,"SwitchBaseProps
Switch",,2,False,
ui/src/app/components/dms/ui/configuration/shared/dynamic-routing-input.tsx,dynamic-routing-input.tsx,"SwitchBaseProps
Switch",,2,False,
ui/src/app/components/dms/ui/configuration/shared/input-error-message.tsx,input-error-message.tsx,Box,,1,False,
ui/src/app/components/dms/ui/configuration/shared/inband-ip-address-input.tsx,inband-ip-address-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/password-text-field.tsx,password-text-field.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/pop-position-input.tsx,pop-position-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/emphasized-form-section.tsx,emphasized-form-section.tsx,"Box
Typography",withStyles,3,True,
ui/src/app/components/dms/ui/configuration/shared/management-ip-address-input.tsx,management-ip-address-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/description-input.tsx,description-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/name-input.tsx,name-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/location-input.tsx,location-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/section-heading.tsx,section-heading.tsx,Box,,1,True,
ui/src/app/components/dms/ui/configuration/shared/neighbor-ip-address-input.tsx,neighbor-ip-address-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/snmp-ip-address-input.tsx,snmp-ip-address-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/syslog-ip-address-input.tsx,syslog-ip-address-input.tsx,FormLabel,,1,True,
ui/src/app/components/dms/ui/configuration/shared/snmp-switch.tsx,snmp-switch.tsx,"SwitchBaseProps
Switch",,2,False,
